id,device_id,temperature,humidity,light_level,voltage,timestamp,received_at
1,SENSOR_001,23.58,44.47,930,3.73,2025-11-25 07:46:54,2025-11-25T10:46:54.584092
2,SENSOR_002,21.77,63.12,539,3.36,2025-11-25 07:46:54,2025-11-25T10:46:54.590047
3,SENSOR_003,24.88,63.0,687,3.62,2025-11-25 07:46:54,2025-11-25T10:46:54.596925
4,SENSOR_001,20.52,69.19,990,3.49,2025-11-25 07:47:04,2025-11-25T10:47:04.628067
5,SENSOR_002,24.52,75.6,175,3.49,2025-11-25 07:47:04,2025-11-25T10:47:04.634081
6,SENSOR_003,18.63,57.37,233,3.95,2025-11-25 07:47:04,2025-11-25T10:47:04.640553
7,SENSOR_001,26.16,62.72,349,3.76,2025-11-25 07:47:14,2025-11-25T10:47:14.657757
8,SENSOR_002,25.9,53.41,226,4.08,2025-11-25 07:47:14,2025-11-25T10:47:14.663979
9,SENSOR_003,19.71,50.46,554,3.68,2025-11-25 07:47:14,2025-11-25T10:47:14.671763
10,SENSOR_001,26.66,65.45,122,4.11,2025-11-25 07:47:24,2025-11-25T10:47:24.687154
11,SENSOR_002,21.61,50.15,215,3.83,2025-11-25 07:47:24,2025-11-25T10:47:24.692713
12,SENSOR_003,18.13,53.36,800,3.7,2025-11-25 07:47:24,2025-11-25T10:47:24.697423
13,SENSOR_001,21.59,60.74,309,3.38,2025-11-25 07:47:34,2025-11-25T10:47:34.713960
14,SENSOR_002,27.04,41.85,259,3.8,2025-11-25 07:47:34,2025-11-25T10:47:34.719640
15,SENSOR_003,26.54,50.19,362,3.33,2025-11-25 07:47:34,2025-11-25T10:47:34.724522
16,SENSOR_001,17.92,54.18,697,3.65,2025-11-25 07:47:44,2025-11-25T10:47:44.732331
17,SENSOR_002,20.07,51.08,689,3.42,2025-11-25 07:47:44,2025-11-25T10:47:44.745070
18,SENSOR_003,23.15,65.61,432,3.78,2025-11-25 07:47:44,2025-11-25T10:47:44.757797
19,SENSOR_001,26.26,45.87,528,4.04,2025-11-25 07:47:54,2025-11-25T10:47:54.781339
20,SENSOR_002,18.06,48.85,620,3.33,2025-11-25 07:47:54,2025-11-25T10:47:54.787382
21,SENSOR_003,22.64,51.42,612,3.42,2025-11-25 07:47:54,2025-11-25T10:47:54.792469
22,SENSOR_001,25.83,54.58,492,3.96,2025-11-25 07:48:04,2025-11-25T10:48:04.799751
23,SENSOR_002,19.31,43.15,472,3.88,2025-11-25 07:48:04,2025-11-25T10:48:04.804752
24,SENSOR_003,23.59,61.96,682,3.9,2025-11-25 07:48:04,2025-11-25T10:48:04.812053
25,SENSOR_001,25.76,63.6,303,3.89,2025-11-25 07:48:14,2025-11-25T10:48:14.827156
26,SENSOR_002,22.17,61.46,809,3.5,2025-11-25 07:48:14,2025-11-25T10:48:14.832257
27,SENSOR_003,21.75,71.38,506,4.16,2025-11-25 07:48:14,2025-11-25T10:48:14.840127
28,SENSOR_001,24.16,78.83,342,3.68,2025-11-25 07:48:24,2025-11-25T10:48:24.190698
29,SENSOR_002,25.73,39.61,170,4.08,2025-11-25 07:48:24,2025-11-25T10:48:24.195320
